entryid,gridref,datestamp,transcription
"""57e50f372c66dc43f40008b6""","{""type"":""Point"",""coordinates"":[0.007102489471436,51.4686192823634]}","""2016-11-04T15:51:58.884+00:00""","[""All Saint's Church"",""All Saints' Church"",""All Saints' Church""]"
"""57e50f3e2c66dc43f40008b8""","{""type"":""Point"",""coordinates"":[0.010857582092285,51.4696618894623]}","""2016-09-25T05:40:25.251+00:00""","[""SOUTH ROW"",""SOUTH ROW""]"
"""57e50f482c66dc43f40008bc""","{""type"":""Point"",""coordinates"":[0.003905296325684,51.4676167530692]}","""2016-09-25T05:33:24.424+00:00""","[""Grote's Place"",""Grote's Place""]"
"""57e50f6b2c66dc43f40008ca""","{""type"":""Point"",""coordinates"":[0.005021095275879,51.4694613899474]}","""2016-09-25T05:40:00.881+00:00""","[""Vicarage"",""Vicarage""]"
"""57e50f782c66dc43f40008ce""","{""type"":""Point"",""coordinates"":[0.005085468292236,51.4691940558904]}","""2016-09-25T05:39:53.332+00:00""","[""BLACKHEATH VALE"",""BLACKHEATH VALE""]"
"""57e50f892c66dc43f40008d4""","{""type"":""Point"",""coordinates"":[0.013904571533203,51.469528223217]}","""2016-10-03T15:43:54.814+00:00""","[""THE PARAGON"",""The Paragon""]"
"""57e50f932c66dc75ba000003""","{""type"":""Point"",""coordinates"":[0.014891624450684,51.4700762523343]}","""2016-10-03T15:43:35.855+00:00""","[""Kidbrook Lodge"",""Kidbrook Lodge""]"
"""57e50f982c66dc43f40008d9""","{""type"":""Point"",""coordinates"":[0.014119148254395,51.4719876194444]}","""2016-09-25T05:31:45.51+00:00""","[""Chapel"",""Chapel""]"
"""57e50fa02c66dc43f40008db""","{""type"":""Point"",""coordinates"":[0.005922317504883,51.475101773343]}","""2016-09-23T14:36:02.471+00:00""","[""The Wilderness"",""The Wilderness""]"
"""57e50fa62c66dc43f40008df""","{""type"":""Point"",""coordinates"":[0.0044846534729,51.4738454449921]}","""2016-09-23T14:35:48.882+00:00""","[""The Paddock"",""The Paddock""]"
"""57e50fb02c66dc43f40008e3""","{""type"":""Point"",""coordinates"":[0.003454685211182,51.4727494707269]}","""2016-09-25T05:31:15.578+00:00""","[""Blackheath Gate"",""Blackheath Gate""]"
"""57e50fb92c66dc43f40008e5""","{""type"":""Point"",""coordinates"":[0.004162788391113,51.471813862107]}","""2016-09-25T05:39:08.544+00:00""","[""Gravel Pit"",""Gravel Pit""]"
"""57e50fbe2c66dc43f40008e9""","{""type"":""Point"",""coordinates"":[-0.001223087310791,51.4714930775916]}","""2016-09-25T05:28:18.935+00:00""","[""Trough"",""Trough""]"
"""57e50fca2c66dc43f40008ed""","{""type"":""Point"",""coordinates"":[-0.005772113800049,51.470651007507]}","""2016-11-04T15:49:23.727+00:00""","[""Supposed ROMAN CAMP"",""Roman Camp""]"
"""57e50fd72c66dc43f40008f1""","{""type"":""Point"",""coordinates"":[-0.002403259277344,51.4699292207782]}","""2016-09-25T05:30:10.695+00:00""","[""Old Gravel Pits"",""Old Gravel Pits""]"
"""57e50fdd2c66dc43f40008f5""","{""type"":""Point"",""coordinates"":[-0.002167224884033,51.4690603882744]}","""2016-09-25T05:30:17.654+00:00""","[""The Orchard"",""The Orchard""]"
"""57e50fe52c66dc43f40008f7""","{""type"":""Point"",""coordinates"":[-0.006222724914551,51.4691004886003]}","""2016-09-25T05:28:52.337+00:00""","[""Old Gravel Pit"",""Old Gravel Pit""]"
"""57e50feb2c66dc43f40008fb""","{""type"":""Point"",""coordinates"":[-0.00699520111084,51.4678306278337]}","""2016-09-25T05:29:06.752+00:00""","[""The Knoll"",""The Knoll""]"
"""57e510042c66dc43f4000907""","{""type"":""Point"",""coordinates"":[0.001029968261719,51.4677905263917]}","""2016-09-25T05:30:41.884+00:00""","[""ELIOT PLACE"",""ELIOT PLACE""]"
"""57e5100c2c66dc43f400090b""","{""type"":""Point"",""coordinates"":[0.002982616424561,51.4681380710512]}","""2016-09-25T05:33:07.584+00:00""","[""P.H."",""P.H.""]"
"""57e510152c66dc43f400090f""","{""type"":""Point"",""coordinates"":[-0.001394748687744,51.4677370577476]}","""2016-09-25T05:30:50.046+00:00""","[""ELIOT VALE"",""ELIOT VALE""]"
"""57e5102d2c66dc43f4000917""","{""type"":""Point"",""coordinates"":[0.001115798950195,51.4737518872412]}","""2016-09-24T19:03:00.812+00:00""","[""Refreshment Chalet"",""Refreshment Chalet""]"
"""57e510332c66dc43f400091b""","{""type"":""Point"",""coordinates"":[0.001931190490723,51.4755428165797]}","""2016-09-23T14:35:38.562+00:00""","[""Old Gravel Pit"",""Old Gravel Pit""]"
"""57e5103a2c66dc43f4000921""","{""type"":""Point"",""coordinates"":[0.005192756652832,51.4760774087253]}","""2016-09-23T14:35:28.401+00:00""","[""Nursery"",""Nursery""]"
"""57e5103f2c66dc43f4000925""","{""type"":""Point"",""coordinates"":[-0.000557899475098,51.4749413929269]}","""2016-09-24T19:02:47.897+00:00""","[""Reservoir"",""Reservoir""]"
"""57e510452c66dc43f400092b""","{""type"":""Point"",""coordinates"":[-0.003862380981445,51.4760774087253]}","""2016-09-24T19:00:29.677+00:00""","[""Tumuli"",""Tumuli""]"
"""57e510532c66dc43f4000931""","{""type"":""Point"",""coordinates"":[-0.001137256622314,51.4777613330327]}","""2016-09-23T17:24:57.17+00:00""","[""ROYAL OBSERVATORY"",""ROYAL OBSERVATORY""]"
"""57e5105e2c66dc43f4000935""","{""type"":""Point"",""coordinates"":[-0.001201629638672,51.4764248902602]}","""2016-09-24T19:00:39.905+00:00""","[""GREENWICH PARK"",""GREENWICH PARK""]"
"""57e510682c66dc43f400093b""","{""type"":""Point"",""coordinates"":[0.002017021179199,51.4779484318961]}","""2016-09-23T17:24:45.125+00:00""","[""Old Chestnut Tree"",""Old Chestnut Tree""]"
"""57e510772c66dc43f400093f""","{""type"":""Point"",""coordinates"":[-0.001330375671387,51.473404385344]}","""2016-09-24T19:03:11.265+00:00""","[""The Ranger's House"",""The Ranger's House""]"
"""57e510812c66dc43f4000945""","{""type"":""Point"",""coordinates"":[-0.003154277801514,51.4746206304031]}","""2016-09-24T19:02:39.781+00:00""","[""Macartney House"",""Macartney House""]"
"""57e510872c66dc43f4000947""","{""type"":""Point"",""coordinates"":[-0.005729198455811,51.4759036669652]}","""2016-09-24T19:02:27.071+00:00""","[""Sch"",""Sch.""]"
"""57e510922c66dc43f400094b""","{""type"":""Point"",""coordinates"":[0.001845359802246,51.4795788323635]}","""2016-09-23T17:25:07.099+00:00""","[""One Tree Hill"",""One Tree Hill""]"
"""57e5109a2c66dc43f4000951""","{""type"":""Point"",""coordinates"":[0.002510547637939,51.4801000136622]}","""2016-09-23T14:13:00.515+00:00""","[""Vanbrugh Castle"",""Vanbrugh Castle""]"
"""57e510a22c66dc43f4000953""","{""type"":""Point"",""coordinates"":[0.005536079406738,51.4795120138176]}","""2016-09-23T14:12:49.484+00:00""","[""Vanbrugh House"",""Vanbrugh House""]"
"""57e510ad2c66dc43f4000955""","{""type"":""Point"",""coordinates"":[0.010085105895996,51.4764783487229]}","""2016-09-25T05:27:47.278+00:00""","[""VANBRUGH PARK"",""VANBRUGH PARK""]"
"""57e510c02c66dc43f400095b""","{""type"":""Point"",""coordinates"":[0.014891624450684,51.4752888831157]}","""2016-09-26T16:14:19.014+00:00""","[""ST. JOHN'S PARK"",""ST JOHN'S PARK""]"
"""57e510c62c66dc43f400095d""","{""type"":""Point"",""coordinates"":[0.018024444580078,51.4755428165797]}","""2016-09-29T10:05:01.518+00:00""","[""Ch."",""Ch.""]"
"""57e510cd2c66dc43f400095f""","{""type"":""Point"",""coordinates"":[0.020406246185303,51.4753690727834]}","""2016-09-29T10:05:10.932+00:00""","[""Vicarage"",""Vicarage""]"
"""57e510ef2c66dc43f4000961""","{""type"":""Point"",""coordinates"":[0.026886463165283,51.4762912438293]}","""2016-09-23T12:21:12.11+00:00""","[""St. John's School"",""St. John's School""]"
"""57e510fb2c66dc43f4000965""","{""type"":""Point"",""coordinates"":[0.032272338867188,51.4742597698678]}","""2016-09-23T12:09:56.592+00:00""","[""Hospital"",""Hospital""]"
