entryid,gridref,datestamp,transcription
"""57f131b62c66dca3220174af""","{""type"":""Point"",""coordinates"":[-0.119819641113281,51.4856255054678]}","""2016-10-02T21:21:59.959+00:00""","[""Sch."",""Sch.""]"
"""57f131c02c66dca3220174b9""","{""type"":""Point"",""coordinates"":[-0.120817422866821,51.4855453338318]}","""2016-10-02T21:50:16.458+00:00""","[""Harleyford Road"",""HARLEYFORD ROAD""]"
"""57f132212c66dca322017501""","{""type"":""Point"",""coordinates"":[-0.120173692703247,51.4894401762213]}","""2016-10-02T21:20:15.376+00:00""","[""Chap."",""Chap.""]"
"""57f132282c66dca322017509""","{""type"":""Point"",""coordinates"":[-0.119658708572388,51.4904956679727]}","""2016-10-02T21:20:22.374+00:00""","[""Workhouse"",""Workhouse""]"
"""57f1322f2c66dca32201750f""","{""type"":""Point"",""coordinates"":[-0.121053457260132,51.4904555864538]}","""2016-10-02T21:20:10.454+00:00""","[""Sch."",""Sch.""]"
"""57f132412c66dca322017523""","{""type"":""Point"",""coordinates"":[-0.121117830276489,51.4921256198867]}","""2016-10-03T09:45:54.521+00:00""","[""BROAD STREET"",""Broad Street""]"
"""57f132462c66dca322017527""","{""type"":""Point"",""coordinates"":[-0.115088224411011,51.4916580166921]}","""2016-10-02T21:20:26.728+00:00""","[""Chap."",""Chap.""]"
"""57f170392c66dca32201a69a""","{""type"":""Point"",""coordinates"":[0.039138793945312,51.4868347438808]}","""2016-10-14T12:25:55.39+00:00""","[""Vic."",""Vic.""]"
"""57f170442c66dca32201a6a8""","{""type"":""Point"",""coordinates"":[0.033066272735596,51.4873825650928]}","""2016-10-14T12:26:01.4+00:00""","[""S.P"",""S.P.""]"
"""57f170712c66dca32201a6d0""","{""type"":""Point"",""coordinates"":[0.044020414352417,51.4899746054785]}","""2016-11-03T15:14:57.552+00:00""","[""Cox's Mount"",""Cox's Mount""]"
"""57f1707c2c66dca32201a6dc""","{""type"":""Point"",""coordinates"":[0.04494309425354,51.491023404685]}","""2016-10-17T12:19:10.355+00:00""","[""MOUNT STREET"",""MOUNT STREET""]"
"""57f170832c66dca32201a6e5""","{""type"":""Point"",""coordinates"":[0.045747756958008,51.4920320996315]}","""2016-10-17T12:18:59.005+00:00""","[""ACORN ST."",""ACORN ST.""]"
"""57f1708a2c66dca32201a6ed""","{""type"":""Point"",""coordinates"":[0.047625303268433,51.492319339805]}","""2016-10-17T12:18:46.976+00:00""","[""ALBION ROAD"",""ALBION ROAD""]"
"""57f170952c66dca32201a6fb""","{""type"":""Point"",""coordinates"":[0.041048526763916,51.4941763372534]}","""2016-11-03T15:15:51.98+00:00""","[""BOWATER ROAD"",""Bowater Road""]"
"""57f170af2c66dca32201a723""","{""type"":""Point"",""coordinates"":[0.042368173599243,51.4945971570965]}","""2016-11-03T15:15:58.889+00:00""","[""HARRINGTON ROAD"",""Harrington Road""]"
"""57f170bd2c66dca32201a733""","{""type"":""Point"",""coordinates"":[0.038344860076904,51.4933547254108]}","""2016-11-03T15:15:38.816+00:00""","[""LOWER EAST ST."",""Lower East St.""]"
"""57f170c92c66dca32201a747""","{""type"":""Point"",""coordinates"":[0.037175416946411,51.4933346859125]}","""2016-11-03T15:15:31.599+00:00""","[""LOWER WEST ST."",""Lower West St.""]"
"""57f170d12c66dca32201a755""","{""type"":""Point"",""coordinates"":[0.03820538520813,51.492078859783]}","""2016-11-04T15:54:51.243+00:00""","[""YORK ST."",""York Street"",""York Street""]"
"""57f170da2c66dca32201a767""","{""type"":""Point"",""coordinates"":[0.039246082305908,51.4918517385975]}","""2016-11-03T15:15:09.635+00:00""","[""EAST STREET"",""East Street""]"
"""57f170e12c66dca32201a76d""","{""type"":""Point"",""coordinates"":[0.038430690765381,51.4915043745956]}","""2016-11-03T15:15:15.873+00:00""","[""WEST STREET"",""West Street""]"
"""57f170e52c66dca32201a771""","{""type"":""Point"",""coordinates"":[0.038269758224487,51.4898610397855]}","""2016-10-14T12:25:46.21+00:00""","[""P.H."",""P.H.""]"
"""57f170f82c66dca32201a793""","{""type"":""Point"",""coordinates"":[0.024011135101318,51.4870952938146]}","""2017-01-01T15:55:48.884+00:00""","[""WOOLWICH ROAD"",""Woolwich Road""]"
"""57f171072c66dca32201a7a5""","{""type"":""Point"",""coordinates"":[0.02321720123291,51.4866276390252]}","""2017-01-01T15:55:30.05+00:00""","[""DUPREE ROAD"",""Dupree Road""]"
"""57f171132c66dca32201a7b5""","{""type"":""Point"",""coordinates"":[0.02023458480835,51.486473979976]}","""2017-01-01T15:56:56.235+00:00""","[""FAIRTHORN ROAD"",""Fairthorn Road""]"
"""57f1711e2c66dca32201a7cb""","{""type"":""Point"",""coordinates"":[0.017659664154053,51.4873892457987]}","""2017-01-17T23:54:10.709+00:00""","[""FEARON ST."",""Fearon Street"",""FEARON ST.""]"
"""57f171342c66dca32201a7e8""","{""type"":""Point"",""coordinates"":[0.019000768661499,51.4868614670195]}","""2017-01-01T15:57:13.43+00:00""","[""ALDEBURGH ROAD"",""Aldeburgh Road""]"
"""57f171432c66dcf5570003eb""","{""type"":""Point"",""coordinates"":[0.019268989562988,51.4840420895565]}","""2016-10-14T12:27:06.37+00:00""","[""S.P"",""S.P.""]"
"""57f171472c66dca32201a7fe""","{""type"":""Point"",""coordinates"":[0.022830963134766,51.4847770151714]}","""2016-10-14T12:27:18.351+00:00""","[""S.P"",""S.P.""]"
"""57f1714d2c66dca32201a802""","{""type"":""Point"",""coordinates"":[0.022101402282715,51.483567722188]}","""2016-10-14T12:26:19.3+00:00""","[""S.Ps"",""S.Ps""]"
"""57f171532c66dca32201a80d""","{""type"":""Point"",""coordinates"":[0.025427341461182,51.4832871081823]}","""2016-10-14T12:26:24.974+00:00""","[""B.S"",""B.S.""]"
"""57f171682c66dca32201a825""","{""type"":""Point"",""coordinates"":[0.028603076934814,51.4852981370666]}","""2016-10-17T12:12:57.473+00:00""","[""SWALLOWFIELD ROAD"",""SWALLOWFIELD ROAD""]"
"""57f171732c66dca32201a83b""","{""type"":""Point"",""coordinates"":[0.029847621917725,51.4838550156907]}","""2016-10-17T12:12:45.195+00:00""","[""PRIOLO ROAD"",""PRIOLO ROAD""]"
"""57f1717f2c66dca32201a849""","{""type"":""Point"",""coordinates"":[0.0319504737854,51.4829329975679]}","""2016-10-17T12:13:45.153+00:00""","[""ELLISCOMBE ROAD"",""ELLISCOMBE ROAD""]"
"""57f171872c66dca32201a853""","{""type"":""Point"",""coordinates"":[0.027294158935547,51.4824920257889]}","""2016-10-14T12:26:37.753+00:00""","[""B.Ss"",""B.Ss""]"
"""57f171932c66dca32201a86b""","{""type"":""Point"",""coordinates"":[0.021318197250366,51.4818372416445]}","""2016-10-14T12:26:58.692+00:00""","[""S.P"",""S.P.""]"
"""57f171ad2c66dca32201a88f""","{""type"":""Point"",""coordinates"":[0.020191669464111,51.4812425825919]}","""2016-11-03T15:20:44.926+00:00""","[""INVICTA ROAD"",""Invicta Road""]"
"""57f171b42c66dca32201a898""","{""type"":""Point"",""coordinates"":[0.018399953842163,51.4827860074487]}","""2017-01-01T15:54:44.846+00:00""","[""RUTHIN ROAD"",""Ruthin Road""]"
"""57f171c42c66dca32201a8a4""","{""type"":""Point"",""coordinates"":[0.010889768600464,51.4800064687395]}","""2016-10-17T12:10:52.287+00:00""","[""COLERAINE ROAD"",""COLERAINE ROAD""]"
"""57f171d02c66dca32201a8b6""","{""type"":""Point"",""coordinates"":[0.009645223617554,51.4807013692986]}","""2016-10-17T12:10:35.457+00:00""","[""FOYLE ROAD"",""FOYLE ROAD""]"
"""57f171ec2c66dca32201a8e3""","{""type"":""Point"",""coordinates"":[0.010321140289307,51.4785431339007]}","""2017-01-01T15:41:08.353+00:00""","[""VANBRUGH PARK ROAD W."",""Vanbrugh Park Road West"",""VANBRUGH PARK ROAD""]"
"""57f171f42c66dca32201a8ed""","{""type"":""Point"",""coordinates"":[0.012187957763672,51.4784161756968]}","""2016-12-27T16:43:06.293+00:00""","[""VANBRUGH PARK ROAD"",""VANBRUGH PARK ROAD""]"
"""57f172002c66dca32201a907""","{""type"":""Point"",""coordinates"":[0.016651153564453,51.4774539546625]}","""2016-10-14T12:28:48.613+00:00""","[""Chap."",""Chap.""]"
"""57f172202c66dca32201a934""","{""type"":""Point"",""coordinates"":[0.006512403488159,51.480895137759]}","""2016-12-27T16:43:33.925+00:00""","[""ULUNDI ROAD"",""UNION ROAD""]"
"""57f1722e2c66dca32201a94d""","{""type"":""Point"",""coordinates"":[0.008336305618286,51.4820042793093]}","""2016-10-17T12:11:19.795+00:00""","[""VANBRUGH HILL"",""VANBRUGH HILL""]"
"""57f172382c66dca32201a957""","{""type"":""Point"",""coordinates"":[0.009194612503052,51.482852821198]}","""2016-10-17T12:11:32.172+00:00""","[""DINSDALE ROAD"",""DINSDALE ROAD""]"
"""57f1724b2c66dca32201a96b""","{""type"":""Point"",""coordinates"":[0.019655227661133,51.4800064687395]}","""2016-10-02T20:47:07.93+00:00""","[""WESTCOMBE HILL""]"
"""57f172572c66dca32201a982""","{""type"":""Point"",""coordinates"":[0.018689632415771,51.4793583307904]}","""2016-10-02T20:47:19.021+00:00""","[""GLENLUCE ROAD""]"
"""57f1726a2c66dca32201a9a3""","{""type"":""Point"",""coordinates"":[0.016533136367798,51.474353326577]}","""2016-11-04T15:50:17.86+00:00""","[""ST. JOHN'S ROAD"",""St John's Road""]"
"""57f1726f2c66dcf5570003f1""","{""type"":""Point"",""coordinates"":[0.015213489532471,51.4734912610665]}","""2016-10-02T20:47:43.343+00:00""","[""L.B""]"
"""57f172732c66dca32201a9b2""","{""type"":""Point"",""coordinates"":[0.01573920249939,51.4733442405162]}","""2016-10-02T20:47:47.729+00:00""","[""M.S""]"
"""57f172782c66dca32201a9ba""","{""type"":""Point"",""coordinates"":[0.014548301696777,51.4728964931941]}","""2016-10-02T20:47:52.637+00:00""","[""B.S""]"
"""57f172902c66dca32201a9d7""","{""type"":""Point"",""coordinates"":[0.014848709106445,51.4722683029761]}","""2016-11-04T15:50:34.302+00:00""","[""ST. GERMAN'S PLACE"",""St German's Place""]"
"""57f1729c2c66dca32201a9e5""","{""type"":""Point"",""coordinates"":[0.01772403717041,51.4737318391268]}","""2016-10-02T20:48:28.565+00:00""","[""B.S""]"
"""57f172a72c66dca32201a9f7""","{""type"":""Point"",""coordinates"":[0.014290809631348,51.4699091709838]}","""2016-10-03T15:43:44.194+00:00""","[""B.S"",""B.S""]"
"""57f174c92c66dca32201ac4e""","{""type"":""Point"",""coordinates"":[-0.062205791473389,51.5013030315948]}","""2016-10-02T20:59:40.689+00:00""","[""Cherry Pier"",""Cherry Pier""]"
"""57f174f52c66dca32201ac89""","{""type"":""Point"",""coordinates"":[-0.06690502166748,51.4960332590557]}","""2016-10-03T15:22:18.659+00:00""","[""Pritter Road"",""Priter Road"",""PRITER ROAD""]"
"""57f175022c66dca32201ac99""","{""type"":""Point"",""coordinates"":[-0.068063735961914,51.4958929906256]}","""2016-10-02T21:41:11.618+00:00""","[""Dockley Road"",""DOCKLEY ROAD""]"
"""57f175282c66dca32201acd7""","{""type"":""Point"",""coordinates"":[-0.066196918487549,51.4968147466932]}","""2016-10-02T21:40:49.299+00:00""","[""St James's Road"",""ST JAMES'S ROAD""]"
"""57f175372c66dca32201acec""","{""type"":""Point"",""coordinates"":[-0.063321590423584,51.496988408793]}","""2016-10-02T21:53:05.994+00:00""","[""Keeton's Road"",""KEETON'S ROAD""]"
"""57f175452c66dca32201acfa""","{""type"":""Point"",""coordinates"":[-0.065145492553711,51.496039938494]}","""2016-10-02T21:42:27.027+00:00""","[""Collett Road"",""COLLETT ROAD""]"
"""57f175542c66dca32201ad19""","{""type"":""Point"",""coordinates"":[-0.070037841796875,51.4957059653807]}","""2016-10-02T21:55:25.295+00:00""","[""Rouel Road"",""ROUEL ROAD""]"
"""57f175602c66dca32201ad2c""","{""type"":""Point"",""coordinates"":[-0.075520277023315,51.4947975461326]}","""2016-10-02T21:41:33.526+00:00""","[""Ernest Street"",""ERNEST STREET""]"
"""57f1757c2c66dca32201ad4c""","{""type"":""Point"",""coordinates"":[-0.074543952941895,51.4937354742034]}","""2016-10-05T17:17:14.159+00:00""","[""Alscot Road"",""ALSCOT STREET"",""ALSCOT ROAD""]"
"""57f175852c66dca32201ad5c""","{""type"":""Point"",""coordinates"":[-0.075992345809937,51.4943433297196]}","""2016-10-02T21:37:53.467+00:00""","[""Ch."",""Ch.""]"
"""57f1758a2c66dca32201ad61""","{""type"":""Point"",""coordinates"":[-0.075820684432983,51.4940026644397]}","""2016-10-02T21:37:48.376+00:00""","[""Ch."",""Ch.""]"
"""57f175902c66dca32201ad69""","{""type"":""Point"",""coordinates"":[-0.077140331268311,51.4938557100035]}","""2016-10-02T21:37:41.699+00:00""","[""Sch."",""Sch.""]"
"""57f175a02c66dca32201ad7f""","{""type"":""Point"",""coordinates"":[-0.079747438430786,51.4943366500327]}","""2016-10-02T21:36:56.768+00:00""","[""Grimscott Street"",""GRIMSCOTT STREET""]"
"""57f175b42c66dca32201ada1""","{""type"":""Point"",""coordinates"":[-0.081871747970581,51.4936219178787]}","""2016-10-02T21:36:46.398+00:00""","[""Page's Walk"",""PAGE'S WALK""]"
"""57f175c22c66dca32201adb6""","{""type"":""Point"",""coordinates"":[-0.078427791595459,51.4929205343101]}","""2016-10-02T21:37:09.046+00:00""","[""Willow Walk"",""WILLOW WALK""]"
"""57f175d02c66dca32201adce""","{""type"":""Point"",""coordinates"":[-0.078717470169067,51.492472979155]}","""2016-10-02T21:37:35.601+00:00""","[""Goods Depot"",""Goods Depot""]"
"""57f175d42c66dca32201add0""","{""type"":""Point"",""coordinates"":[-0.041477680206299,51.504735736899]}","""2016-10-04T17:11:52.246+00:00""","[""FB"",""f.b.""]"
"""57f175d92c66dca32201addb""","{""type"":""Point"",""coordinates"":[-0.040801763534546,51.5048759781157]}","""2016-10-04T17:11:55.527+00:00""","[""FB"",""f.b.""]"
"""57f175db2c66dca32201addd""","{""type"":""Point"",""coordinates"":[-0.082547664642334,51.4928069759554]}","""2016-10-03T09:50:13.148+00:00""","[""B.Ss"",""B.Ss"",""B.""]"
"""57f175df2c66dca32201ade5""","{""type"":""Point"",""coordinates"":[-0.035855770111084,51.5051831716537]}","""2016-10-04T17:11:59.166+00:00""","[""FB"",""f.b.""]"
"""57f175e12c66dca32201ade9""","{""type"":""Point"",""coordinates"":[-0.085079669952393,51.4925664985057]}","""2016-10-02T21:37:17.156+00:00""","[""Sch."",""Sch.""]"
"""57f175ea2c66dca32201adfa""","{""type"":""Point"",""coordinates"":[-0.088405609130859,51.4937688730686]}","""2016-10-02T21:36:30.315+00:00""","[""Paragon"",""PARAGON""]"
"""57f175f52c66dca32201ae08""","{""type"":""Point"",""coordinates"":[-0.09363055229187,51.4925998982274]}","""2016-10-02T21:36:21.943+00:00""","[""Sch."",""Sch.""]"
"""57f1760d2c66dca32201ae22""","{""type"":""Point"",""coordinates"":[-0.09762704372406,51.491968639349]}","""2016-10-03T09:46:43.849+00:00""","[""HEYGATE STREET"",""Heygate Street""]"
"""57f176182c66dca32201ae36""","{""type"":""Point"",""coordinates"":[-0.096774101257324,51.4911870686269]}","""2016-10-02T21:34:12.868+00:00""","[""Wansey Street"",""WANSEY STREET""]"
"""57f176252c66dca32201ae45""","{""type"":""Point"",""coordinates"":[-0.097036957740784,51.4919485992415]}","""2016-10-03T09:46:28.128+00:00""","[""VOWLER ST."",""Vowler St.""]"
"""57f176312c66dca32201ae5e""","{""type"":""Point"",""coordinates"":[-0.10062575340271,51.491654676652]}","""2016-10-02T21:33:40.954+00:00""","[""Hampton St"",""HAMPTON ST""]"
"""57f176422c66dca32201ae74""","{""type"":""Point"",""coordinates"":[-0.10037899017334,51.4912772505479]}","""2016-10-02T21:33:47.797+00:00""","[""Steedman St"",""STEEDMAN ST""]"
"""57f176562c66dca32201ae8a""","{""type"":""Point"",""coordinates"":[-0.100089311599731,51.4891762994654]}","""2016-10-05T08:26:23.438+00:00""","[""AMELIA STREET"",""Amelia Street"",""AMELIA STRET""]"
"""57f1765e2c66dca32201ae94""","{""type"":""Point"",""coordinates"":[-0.099928379058838,51.4887454088213]}","""2016-10-05T08:26:30.782+00:00""","[""THRUSH ST."",""Thrush Street"",""THRUSH STR.""]"
"""57f1766d2c66dca32201aea1""","{""type"":""Point"",""coordinates"":[-0.100861787796021,51.4876698345612]}","""2016-10-02T21:32:54.212+00:00""","[""Manor Place"",""MANOR PLACE""]"
"""57f176782c66dca32201aeb1""","{""type"":""Point"",""coordinates"":[-0.104042887687683,51.4878401911817]}","""2016-10-02T21:32:59.94+00:00""","[""Drill Shed"",""Drill Shed""]"
"""57f1767e2c66dca32201aebe""","{""type"":""Point"",""coordinates"":[-0.106226205825806,51.4881809025132]}","""2016-10-04T17:08:39.861+00:00""","[""Sta."",""Sta.""]"
"""57f176852c66dca32201aec7""","{""type"":""Point"",""coordinates"":[-0.10687530040741,51.4885015696759]}","""2016-10-02T21:21:24.487+00:00""","[""Ch."",""Ch.""]"
"""57f1768f2c66dca32201aed9""","{""type"":""Point"",""coordinates"":[-0.107787251472473,51.4885115904884]}","""2016-10-02T21:21:18.433+00:00""","[""Sch."",""Sch.""]"
"""57f1769d2c66dca32201aeef""","{""type"":""Point"",""coordinates"":[-0.109063982963562,51.4879604425306]}","""2016-10-02T21:49:22.902+00:00""","[""Prince's Square"",""PRINCE'S SQUARE""]"
"""57f176a72c66dca32201af02""","{""type"":""Point"",""coordinates"":[-0.110405087471008,51.4874259896635]}","""2016-10-02T21:49:31.475+00:00""","[""Methley Street"",""METHLEY STREET""]"
"""57f176af2c66dca32201af10""","{""type"":""Point"",""coordinates"":[-0.113028287887573,51.4869149132498]}","""2016-10-02T21:21:35.635+00:00""","[""Sch."",""Sch.""]"
"""57f176b52c66dca32201af20""","{""type"":""Point"",""coordinates"":[-0.113688111305237,51.487770044415]}","""2016-10-02T21:21:30.577+00:00""","[""Chap."",""Chap.""]"
"""57f176be2c66dca32201af30""","{""type"":""Point"",""coordinates"":[-0.112180709838867,51.4883211946744]}","""2016-10-05T16:50:10.244+00:00""","[""Miss. Sch."",""Miss. Ch."",""Miss. Ch.""]"
"""57f176c62c66dca32201af3b""","{""type"":""Point"",""coordinates"":[-0.112341642379761,51.4887687905887]}","""2016-10-02T21:21:13.769+00:00""","[""Sch."",""Sch.""]"
"""57f176d32c66dca32201af4f""","{""type"":""Point"",""coordinates"":[-0.115399360656738,51.4894602174315]}","""2016-10-02T21:49:04.325+00:00""","[""Sancroft Street"",""SANCROFT STREET""]"
"""57f176e02c66dcf55700042e""","{""type"":""Point"",""coordinates"":[-0.115474462509155,51.4888155540874]}","""2016-10-05T08:30:32.359+00:00""","[""NEWBURN ST."",""Mewburn St"",""NEWBURN ST.""]"
"""57f176e72c66dca32201af6e""","{""type"":""Point"",""coordinates"":[-0.118821859359741,51.4888155540874]}","""2016-10-02T21:21:08.984+00:00""","[""Sch."",""Sch.""]"
"""57f176f82c66dca32201af80""","{""type"":""Point"",""coordinates"":[-0.121418237686157,51.4874426914104]}","""2016-10-02T21:21:04.135+00:00""","[""Sch."",""Sch.""]"
"""57f177062c66dca32201af90""","{""type"":""Point"",""coordinates"":[-0.119937658309937,51.4862468308679]}","""2016-10-02T21:50:04.683+00:00""","[""Upper kennington Lane"",""UPPER KENNINGTON LANE""]"
"""57f177102c66dca32201af9b""","{""type"":""Point"",""coordinates"":[-0.117502212524414,51.4860397233419]}","""2016-10-02T21:49:44.038+00:00""","[""Henry Street"",""HENRY STREET""]"
"""57f1771b2c66dca32201afae""","{""type"":""Point"",""coordinates"":[-0.119218826293945,51.4859729142619]}","""2016-10-02T21:49:50.706+00:00""","[""Durham Street"",""DURHAM STREET""]"
"""57f177272c66dca32201afc0""","{""type"":""Point"",""coordinates"":[-0.120581388473511,51.4842759308097]}","""2016-10-02T21:31:41.24+00:00""","[""Bonnington Square"",""Bonnington Square""]"
"""57f1789b2c66dca32201b20e""","{""type"":""Point"",""coordinates"":[-0.050253868103027,51.4911369674826]}","""2016-10-02T21:14:03.73+00:00""","[""The Oval(Cricket Ground)""]"
"""57f178c32c66dca32201b24a""","{""type"":""Point"",""coordinates"":[-0.058032274246216,51.4949444975325]}","""2016-10-04T17:11:24.816+00:00""","[""DF"",""D.F.""]"
"""57f1791d2c66dca32201b2f5""","{""type"":""Point"",""coordinates"":[-0.077354907989502,51.5014967125125]}","""2016-10-03T15:17:43.131+00:00""","[""Sch."",""Sch.""]"
"""57f179942c66dca32201b3bc""","{""type"":""Point"",""coordinates"":[-0.101591348648071,51.4992392769122]}","""2016-10-03T09:44:55.181+00:00""","[""Ch."",""Ch""]"
"""57f1799a2c66dca32201b3c4""","{""type"":""Point"",""coordinates"":[-0.104176998138428,51.4987784257239]}","""2016-10-03T09:44:50.75+00:00""","[""Chap."",""Chap.""]"
"""57f1799f2c66dca32201b3c8""","{""type"":""Point"",""coordinates"":[-0.106086730957031,51.4986181285661]}","""2016-10-03T09:44:28.415+00:00""","[""Hosp."",""Hosp.""]"
"""57f179a32c66dca32201b3ce""","{""type"":""Point"",""coordinates"":[-0.107063055038452,51.4985045844049]}","""2016-10-03T09:44:23.827+00:00""","[""Ch."",""Ch.""]"
"""57f179c12c66dca32201b3f5""","{""type"":""Point"",""coordinates"":[-0.117577314376831,51.4955990934676]}","""2016-10-04T17:05:14.073+00:00""","[""Rec."",""Rec."",""Fec.""]"
"""57f179ce2c66dca32201b40a""","{""type"":""Point"",""coordinates"":[-0.117062330245972,51.4968281053397]}","""2016-10-03T09:45:23.269+00:00""","[""Smy."",""Smy.""]"
"""57f17a202c66dca32201b48d""","{""type"":""Point"",""coordinates"":[-0.119519233703613,51.4931476501709]}","""2016-10-03T09:45:40.723+00:00""","[""Sch."",""Sch.""]"
"""57f17a812c66dca32201b528""","{""type"":""Point"",""coordinates"":[-0.118553638458252,51.4872088663968]}","""2016-10-05T08:33:52.604+00:00""","[""Sch."",""Sch.""]"
"""57f17a872c66dca32201b530""","{""type"":""Point"",""coordinates"":[-0.11811375617981,51.4868547862363]}","""2016-10-05T08:33:57.908+00:00""","[""Chap."",""Chap.""]"
"""57f17cd32c66dca32201b771""","{""type"":""Point"",""coordinates"":[-0.116922855377197,51.484302655448]}","""2016-10-03T09:56:07.057+00:00""","[""sCHOOL"",""School""]"
"""57f181742c66dca32201baea""","{""type"":""Point"",""coordinates"":[-0.077633857727051,51.5024651047539]}","""2016-10-03T15:17:31.262+00:00""","[""P.H."",""P.H.""]"
"""57f229412c66dca32201d250""","{""type"":""Point"",""coordinates"":[-0.090819597244263,51.4925865383417]}","""2016-10-04T12:41:08.117+00:00""","[""HENSHAW STREET"",""Henshaw Street""]"
"""57f229482c66dca32201d253""","{""type"":""Point"",""coordinates"":[-0.090036392211914,51.4922725799001]}","""2016-10-04T12:48:33.891+00:00""","[""CHATHAM STREET"",""Chatham Street""]"
"""57f2294e2c66dca32201d258""","{""type"":""Point"",""coordinates"":[-0.088995695114136,51.4916646967715]}","""2016-10-04T12:41:21.609+00:00""","[""DARWIN STREET"",""Darwin STreet""]"
"""57f229572c66dca32201d25c""","{""type"":""Point"",""coordinates"":[-0.085573196411133,51.4912638902746]}","""2016-10-04T12:41:31.649+00:00""","[""BECKWAY STREET"",""Beckway Street""]"
"""57f2295f2c66dca32201d261""","{""type"":""Point"",""coordinates"":[-0.087268352508545,51.4906693541474]}","""2016-10-04T12:41:49.354+00:00""","[""ELSTED STREET"",""Elsted Street""]"
"""57f2296a2c66dca32201d267""","{""type"":""Point"",""coordinates"":[-0.091098546981812,51.489005947837]}","""2016-10-04T12:42:36.431+00:00""","[""EAST STREET"",""East Street""]"
"""57f229752c66dca32201d26b""","{""type"":""Point"",""coordinates"":[-0.090315341949463,51.488377979474]}","""2016-10-04T12:42:57.685+00:00""","[""RUNHAM STREET"",""Runham Street""]"
"""57f2297e2c66dca32201d270""","{""type"":""Point"",""coordinates"":[-0.090594291687012,51.4876898765496]}","""2016-10-04T12:43:07.969+00:00""","[""TRAFALGAR STREET"",""Trafalgar Street""]"
"""57f229852c66dca32201d272""","{""type"":""Point"",""coordinates"":[-0.093351602554321,51.4869683594175]}","""2016-10-04T12:43:53.079+00:00""","[""TRAFALGAR STREET"",""Trafalgar Street""]"
"""57f2298c2c66dca32201d276""","{""type"":""Point"",""coordinates"":[-0.092525482177734,51.4861399367784]}","""2016-10-04T12:43:41.93+00:00""","[""LIVERPOOL STREET"",""Liverpool Street""]"
"""57f2299e2c66dca32201d27b""","{""type"":""Point"",""coordinates"":[-0.093201398849487,51.488992586898]}","""2016-10-04T12:42:18.819+00:00""","[""Sch."",""Sch.""]"
"""57f229a32c66dca32201d27d""","{""type"":""Point"",""coordinates"":[-0.091956853866577,51.4888923797312]}","""2016-10-04T12:42:25.136+00:00""","[""Chap."",""Chap.""]"
"""57f229a72c66dca32201d280""","{""type"":""Point"",""coordinates"":[-0.09113073348999,51.4895002998255]}","""2016-10-04T12:42:13.486+00:00""","[""Chap."",""Chap.""]"
"""57f229ad2c66dca32201d282""","{""type"":""Point"",""coordinates"":[-0.08814811706543,51.4902952600259]}","""2016-10-04T17:10:14.176+00:00""","[""Schs,"",""Schs."",""Schs.""]"
"""57f229b32c66dca32201d285""","{""type"":""Point"",""coordinates"":[-0.088866949081421,51.4906493134687]}","""2016-10-04T12:42:07.495+00:00""","[""Sch."",""Sch.""]"
"""57f229b92c66dca32201d287""","{""type"":""Point"",""coordinates"":[-0.091227293014526,51.4919853394319]}","""2016-10-04T12:41:13.35+00:00""","[""Ch."",""Ch.""]"
"""57f229c62c66dca32201d28a""","{""type"":""Point"",""coordinates"":[-0.083695650100708,51.4911035666892]}","""2016-10-04T17:10:17.665+00:00""","[""Ch."",""Ch.""]"
"""57f229cb2c66dca32201d28c""","{""type"":""Point"",""coordinates"":[-0.083159208297729,51.4912972909506]}","""2016-10-04T17:10:21.041+00:00""","[""Sch."",""Sch.""]"
"""57f229e52c66dca32201d292""","{""type"":""Point"",""coordinates"":[-0.098308324813843,51.4933012867292]}","""2016-10-04T12:40:27.145+00:00""","[""Sch."",""Sch.""]"
"""57f229ea2c66dca32201d295""","{""type"":""Point"",""coordinates"":[-0.100314617156982,51.4946038367453]}","""2016-10-04T12:39:48.254+00:00""","[""Sta."",""Sta.""]"
"""57f229ef2c66dca32201d297""","{""type"":""Point"",""coordinates"":[-0.101215839385986,51.4951248463303]}","""2016-10-04T12:39:43.483+00:00""","[""L.B"",""L.B.""]"
"""57f229f72c66dca32201d29a""","{""type"":""Point"",""coordinates"":[-0.105271339416504,51.4980103300547]}","""2016-10-03T15:14:35.688+00:00""","[""Asylum"",""Asylum""]"
"""57f229fe2c66dca32201d29d""","{""type"":""Point"",""coordinates"":[-0.107835531234741,51.4972221836519]}","""2016-10-03T15:14:19.449+00:00""","[""Cathedral"",""Cathedral""]"
"""57f22a022c66dca32201d29f""","{""type"":""Point"",""coordinates"":[-0.108436346054077,51.4972756177369]}","""2016-10-03T15:14:10.939+00:00""","[""L.B"",""L.B""]"
"""57f22a072c66dca32201d2a1""","{""type"":""Point"",""coordinates"":[-0.109519958496094,51.4975160703447]}","""2016-10-03T15:13:59.098+00:00""","[""Chap."",""Chap.""]"
"""57f22a0b2c66dca32201d2a3""","{""type"":""Point"",""coordinates"":[-0.110292434692383,51.4977632008696]}","""2016-10-03T15:13:52.36+00:00""","[""Sch."",""Sch.""]"
"""57f22a132c66dca32201d2a7""","{""type"":""Point"",""coordinates"":[-0.106408596038818,51.4979902926031]}","""2016-10-03T15:14:28.982+00:00""","[""Sch."",""Sch.""]"
