entryid,gridref,datestamp,transcription
57e50f3e2c66dc43f40008b8,SRID=4326;POINT(0.0108575820922852 51.4696618894623),2016-09-25 05:40:25.251+00,"{""SOUTH ROW"",""SOUTH ROW""}"
57e50f482c66dc43f40008bc,SRID=4326;POINT(0.00390529632568359 51.4676167530692),2016-09-25 05:33:24.424+00,"{""Grote's Place"",""Grote's Place""}"
57e50f6b2c66dc43f40008ca,SRID=4326;POINT(0.00502109527587891 51.4694613899474),2016-09-25 05:40:00.881+00,"{Vicarage,Vicarage}"
57e50f782c66dc43f40008ce,SRID=4326;POINT(0.00508546829223633 51.4691940558904),2016-09-25 05:39:53.332+00,"{""BLACKHEATH VALE"",""BLACKHEATH VALE""}"
57e50f892c66dc43f40008d4,SRID=4326;POINT(0.0139045715332031 51.469528223217),2016-10-03 15:43:54.814+00,"{""THE PARAGON"",""The Paragon""}"
57e50f932c66dc75ba000003,SRID=4326;POINT(0.0148916244506836 51.4700762523343),2016-10-03 15:43:35.855+00,"{""Kidbrook Lodge"",""Kidbrook Lodge""}"
57e50f982c66dc43f40008d9,SRID=4326;POINT(0.0141191482543945 51.4719876194444),2016-09-25 05:31:45.51+00,"{Chapel,Chapel}"
57e50fa02c66dc43f40008db,SRID=4326;POINT(0.00592231750488281 51.475101773343),2016-09-23 14:36:02.471+00,"{""The Wilderness"",""The Wilderness""}"
57e50fa62c66dc43f40008df,SRID=4326;POINT(0.00448465347290039 51.4738454449921),2016-09-23 14:35:48.882+00,"{""The Paddock"",""The Paddock""}"
57e50fb02c66dc43f40008e3,SRID=4326;POINT(0.00345468521118164 51.4727494707269),2016-09-25 05:31:15.578+00,"{""Blackheath Gate"",""Blackheath Gate""}"
57e50fb92c66dc43f40008e5,SRID=4326;POINT(0.00416278839111328 51.471813862107),2016-09-25 05:39:08.544+00,"{""Gravel Pit"",""Gravel Pit""}"
57e50fbe2c66dc43f40008e9,SRID=4326;POINT(-0.00122308731079102 51.4714930775916),2016-09-25 05:28:18.935+00,"{Trough,Trough}"
57e50fca2c66dc43f40008ed,SRID=4326;POINT(-0.00577211380004883 51.470651007507),2016-11-04 15:49:23.727+00,"{""Supposed ROMAN CAMP"",""Roman Camp""}"
57e50fd72c66dc43f40008f1,SRID=4326;POINT(-0.00240325927734375 51.4699292207782),2016-09-25 05:30:10.695+00,"{""Old Gravel Pits"",""Old Gravel Pits""}"
57e50fdd2c66dc43f40008f5,SRID=4326;POINT(-0.0021672248840332 51.4690603882744),2016-09-25 05:30:17.654+00,"{""The Orchard"",""The Orchard""}"
57e50fe52c66dc43f40008f7,SRID=4326;POINT(-0.00622272491455078 51.4691004886003),2016-09-25 05:28:52.337+00,"{""Old Gravel Pit"",""Old Gravel Pit""}"
57e50feb2c66dc43f40008fb,SRID=4326;POINT(-0.00699520111083984 51.4678306278337),2016-09-25 05:29:06.752+00,"{""The Knoll"",""The Knoll""}"
57e510042c66dc43f4000907,SRID=4326;POINT(0.00102996826171875 51.4677905263917),2016-09-25 05:30:41.884+00,"{""ELIOT PLACE"",""ELIOT PLACE""}"
57e5100c2c66dc43f400090b,SRID=4326;POINT(0.00298261642456055 51.4681380710512),2016-09-25 05:33:07.584+00,"{P.H.,P.H.}"
57e510152c66dc43f400090f,SRID=4326;POINT(-0.00139474868774414 51.4677370577476),2016-09-25 05:30:50.046+00,"{""ELIOT VALE"",""ELIOT VALE""}"
57e5102d2c66dc43f4000917,SRID=4326;POINT(0.00111579895019531 51.4737518872412),2016-09-24 19:03:00.812+00,"{""Refreshment Chalet"",""Refreshment Chalet""}"
57e510332c66dc43f400091b,SRID=4326;POINT(0.00193119049072266 51.4755428165797),2016-09-23 14:35:38.562+00,"{""Old Gravel Pit"",""Old Gravel Pit""}"
57e5103a2c66dc43f4000921,SRID=4326;POINT(0.00519275665283203 51.4760774087253),2016-09-23 14:35:28.401+00,"{Nursery,Nursery}"
57e5103f2c66dc43f4000925,SRID=4326;POINT(-0.000557899475097656 51.4749413929269),2016-09-24 19:02:47.897+00,"{Reservoir,Reservoir}"
57e510452c66dc43f400092b,SRID=4326;POINT(-0.00386238098144531 51.4760774087253),2016-09-24 19:00:29.677+00,"{Tumuli,Tumuli}"
57e510532c66dc43f4000931,SRID=4326;POINT(-0.00113725662231445 51.4777613330327),2016-09-23 17:24:57.17+00,"{""ROYAL OBSERVATORY"",""ROYAL OBSERVATORY""}"
57e5105e2c66dc43f4000935,SRID=4326;POINT(-0.00120162963867188 51.4764248902602),2016-09-24 19:00:39.905+00,"{""GREENWICH PARK"",""GREENWICH PARK""}"
